model_path,accuracy,test_loss,source,target,mask
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0024.pt,1.0,1.5861994029364723e-07, 2,5,mask10.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0025.pt,1.0,1.0518650128688023e-07, 3,1,mask07.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0026.pt,1.0,3.20991411228988e-09, 2,4,mask10.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0027.pt,1.0,5.575626346399076e-05, 7,3,mask8.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0028.pt,1.0,8.947406010539893e-11, 8,7,mask05.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0029.pt,1.0,7.68936806707643e-05, 8,3,mask9.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0030.pt,1.0,8.834678821845188e-11, 2,8,mask08.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0031.pt,0.9997501873594804,0.0003109110111836344, 4,0,mask00.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0032.pt,1.0,1.4574553688362357e-06, 8,3,mask00.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0033.pt,1.0,0.0, 4,6,mask9.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0034.pt,1.0,4.486046256690912e-10, 0,2,mask05.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0035.pt,1.0,0.0, 1,3,mask3.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0036.pt,1.0,0.0, 7,9,mask3.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0037.pt,1.0,2.990699354832316e-11, 0,1,mask9.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0038.pt,1.0,0.0, 8,3,mask05.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0039.pt,1.0,0.0, 7,0,mask05.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0040.pt,1.0,6.567029142701131e-09, 2,3,mask9.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0041.pt,0.9997512437810945,0.0021526480559259653, 6,9,mask00.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0042.pt,1.0,3.156660488556895e-09, 4,0,mask5.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0043.pt,1.0,5.5956352440489354e-08, 5,0,mask10.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0044.pt,0.9997529644268774,0.0006436710245907307, 2,3,mask07.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0045.pt,1.0,2.8710551713828636e-09, 1,9,mask07.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0046.pt,1.0,6.726319838890049e-07, 0,6,mask10.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0047.pt,1.0,1.4912340806638724e-10, 8,0,mask05.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0048.pt,1.0,0.0, 7,6,mask9.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0049.pt,1.0,0.0, 7,5,mask00.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0050.pt,1.0,1.0828089216374792e-05, 4,6,mask08.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0051.pt,1.0,1.5128792938412516e-06, 0,1,mask3.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0052.pt,1.0,0.0, 6,8,mask00.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0053.pt,1.0,0.0, 8,7,mask07.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0054.pt,1.0,0.0, 6,5,mask05.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0055.pt,0.9997498123592694,0.003044240642338991, 8,9,mask8.bmp
